bairro,area_m2,quartos,banheiros,vagas,andar,idade_anos,preco
Ipanema,294,3,3,1,12,3.0,6035006.73
Tijuca,106,2,4,2,13,30.0,682573.62
Laranjeiras,69,3,4,0,8,4.0,784834.68
Vila Isabel,196,2,3,1,10,34.0,1208752.85
Recreio,313,1,3,2,10,10.0,2893877.04
Vila Isabel,146,5,5,1,18,53.0,729243.77
Vila Isabel,40,3,4,2,11,25.0,207156.97
Barra da Tijuca,340,2,3,2,21,5.0,4452786.51
Grajau,169,5,5,1,5,41.0,703733.48
Tijuca,81,5,5,1,4,20.0,508301.12
Botafogo,225,5,5,3,10,15.0,1875902.29
Flamengo,128,1,1,3,2,39.0,816264.61
Centro,329,4,6,0,16,57.0,1550955.5
Leblon,120,5,5,2,9,58.0,2115658.09
Vila Isabel,203,5,5,1,9,26.0,1193902.39
Leblon,201,2,4,0,13,50.0,3267807.87
Vila Isabel,103,5,6,2,2,12.0,545294.09
Copacabana,187,3,5,0,9,50.0,1675056.24
Laranjeiras,60,3,5,1,24,56.0,402958.02
Laranjeiras,234,3,3,2,15,31.0,2000286.34
Laranjeiras,271,4,5,3,14,31.0,1796475.95
Centro,333,1,1,1,12,33.0,1954464.44
Jacarepagua,130,3,4,3,11,4.0,737850.34
Flamengo,117,5,6,3,23,,1026741.78
Tijuca,203,3,5,1,23,44.0,1500336.28
Laranjeiras,250,2,4,0,10,52.0,1936131.71
Meier,347,1,1,2,23,6.0,2311564.39
Recreio,33,3,3,0,2,48.0,148566.03
Jacarepagua,102,4,5,3,7,21.0,525000.03
Meier,110,3,3,1,7,49.0,550986.06
Copacabana,107,5,6,3,17,59.0,1057185.72
Leblon,175,4,6,2,15,52.0,3911861.33
Botafogo,308,3,3,1,11,54.0,3276346.07
Ipanema,35,1,3,3,6,6.0,657718.98
Recreio,290,3,5,3,12,19.0,2275297.39
Flamengo,225,1,3,3,6,17.0,1815655.31
Centro,224,4,4,0,12,30.0,1124517.37
Jacarepagua,245,1,1,1,8,58.0,1018978.38
Vila Isabel,62,5,5,3,22,41.0,323981.0
Meier,267,2,2,3,18,32.0,1159344.76
Ipanema,105,3,3,1,4,48.0,1553382.17
Laranjeiras,192,1,2,0,23,10.0,2423776.5
Meier,244,2,2,1,16,39.0,1330064.27
Centro,221,5,5,2,8,30.0,1115493.65
Meier,130,2,4,2,13,12.0,824660.72
Meier,153,3,5,3,4,38.0,731398.51
Ipanema,179,5,6,0,1,50.0,2413754.42
Meier,38,4,4,1,10,49.0,163121.87
Laranjeiras,260,1,2,1,19,50.0,1967651.09
Tijuca,57,2,3,3,8,48.0,370894.9
Centro,174,2,2,0,9,28.0,957899.47
Copacabana,237,2,4,0,24,2.0,2808872.96
Barra da Tijuca,51,2,3,1,24,57.0,469062.24
Recreio,348,3,5,0,11,27.0,2823260.29
Santa Teresa,147,2,2,2,1,37.0,1025165.8
Botafogo,30,2,3,2,16,1.0,337961.63
Tijuca,239,3,3,2,17,53.0,1186748.06
Recreio,206,2,4,3,22,53.0,1696613.91
Santa Teresa,233,2,3,1,23,55.0,1741558.13
Vila Isabel,269,3,3,1,15,10.0,1253340.12
Copacabana,179,5,5,1,2,50.0,1954057.32
Botafogo,293,3,4,3,6,37.0,2620738.26
Vila Isabel,145,3,3,2,17,8.0,1009684.78
Copacabana,202,5,5,0,15,34.0,2532078.72
Vila Isabel,76,4,6,2,10,28.0,556657.17
Tijuca,226,2,4,2,10,37.0,1668694.1
Grajau,110,2,3,0,17,5.0,844013.96
Tijuca,251,3,5,2,10,33.0,1309911.37
Recreio,285,3,4,2,3,40.0,1369209.02
Centro,304,1,1,0,24,42.0,1826461.04
Ipanema,326,1,3,0,8,46.0,5645043.49
Meier,64,2,2,2,6,37.0,259378.93
Jacarepagua,69,5,6,2,1,42.0,315393.99
Laranjeiras,326,4,5,2,11,5.0,2919363.38
Santa Teresa,148,5,5,1,24,47.0,925600.48
Centro,33,1,1,2,3,22.0,207703.97
Recreio,118,3,5,3,6,32.0,896221.09
Recreio,296,3,5,0,4,32.0,2081602.54
Recreio,140,3,4,2,2,58.0,1193517.81
Vila Isabel,49,3,3,0,15,19.0,243190.09
Tijuca,259,2,4,0,7,23.0,1925514.64
Leblon,88,1,3,3,18,45.0,1378105.47
Barra da Tijuca,139,5,6,0,10,38.0,1500559.89
Copacabana,26,5,6,2,15,19.0,310304.59
Ipanema,220,1,3,2,2,20.0,4055676.08
Ipanema,169,3,4,3,8,49.0,2295000.39
Laranjeiras,306,3,3,2,10,50.0,2163256.42
Flamengo,133,4,4,2,1,8.0,1229466.37
Flamengo,91,5,6,3,10,23.0,708633.47
Recreio,78,3,5,3,11,46.0,589671.23
Flamengo,90,4,6,2,10,7.0,950408.38
Leblon,171,5,6,0,12,11.0,4014378.54
Grajau,53,5,5,0,19,9.0,383916.95
Jacarepagua,155,2,3,1,19,31.0,835609.86
Santa Teresa,302,5,5,2,0,27.0,2458362.49
Leblon,274,3,4,2,16,19.0,6794786.4
Jacarepagua,232,1,2,3,22,8.0,1798104.48
Flamengo,315,4,6,0,21,38.0,2976981.8
Jacarepagua,278,5,6,0,8,48.0,1585887.45
Recreio,237,2,4,0,19,12.0,1944111.2
Leblon,305,3,3,2,20,39.0,5762694.69
Barra da Tijuca,65,2,4,2,9,47.0,796610.24
Botafogo,290,1,1,0,21,33.0,3315703.85
Tijuca,121,5,6,3,15,34.0,774439.49
Flamengo,263,1,3,1,18,10.0,2295963.54
Centro,321,3,5,2,18,57.0,1455104.7
Centro,186,1,2,3,19,57.0,783984.32
Barra da Tijuca,53,4,4,0,23,42.0,763897.29
Santa Teresa,145,5,6,3,21,54.0,1042391.1
Ipanema,157,4,6,3,10,36.0,2153641.19
Barra da Tijuca,329,4,5,3,14,39.0,3106532.89
Ipanema,331,5,6,0,16,49.0,4290978.43
Barra da Tijuca,209,5,6,1,21,2.0,2723115.88
Santa Teresa,333,5,6,0,9,13.0,2537841.44
Barra da Tijuca,166,2,2,1,7,12.0,2450519.8
Grajau,158,3,5,3,18,37.0,840072.48
Jacarepagua,296,5,5,3,23,14.0,2474092.94
Flamengo,241,2,4,3,22,23.0,2032479.17
Recreio,194,4,4,1,3,29.0,1128582.15
Botafogo,173,1,2,3,22,44.0,2064869.46
Laranjeiras,254,5,6,3,19,31.0,2675181.42
Santa Teresa,269,4,5,3,3,1.0,2113912.2
Botafogo,184,4,5,3,0,41.0,1701119.13
Laranjeiras,35,5,6,2,5,,316397.44
Botafogo,58,2,2,0,23,6.0,704179.23
Flamengo,71,3,5,1,18,39.0,501835.53
Laranjeiras,175,5,6,3,14,16.0,1027279.91
Recreio,224,1,3,1,15,27.0,1546146.12
Laranjeiras,286,5,5,0,10,58.0,2577323.02
Tijuca,100,2,2,3,22,14.0,989701.13
Ipanema,280,3,4,1,3,53.0,3612291.29
Ipanema,241,3,3,3,7,27.0,3325635.68
Recreio,41,4,6,1,5,55.0,269783.2
Grajau,139,5,6,1,21,50.0,859471.19
Ipanema,123,2,3,1,13,49.0,1940634.17
Recreio,313,1,3,1,17,12.0,1684901.35
Flamengo,324,3,3,1,22,47.0,4054410.61
Botafogo,291,4,6,1,4,22.0,3399491.05
Flamengo,196,4,4,3,24,54.0,1554934.63
Tijuca,185,4,6,1,3,59.0,885858.12
Vila Isabel,126,2,3,1,18,36.0,840431.65
Meier,276,5,6,3,17,54.0,1291676.21
Meier,53,1,1,1,20,31.0,274694.34
Leblon,113,1,2,0,3,2.0,2669799.01
Recreio,68,1,3,0,23,52.0,468844.27
Vila Isabel,185,5,6,1,19,31.0,1179712.58
Copacabana,122,1,2,2,2,2.0,1623346.93
Laranjeiras,89,4,4,3,13,3.0,932626.41
Jacarepagua,147,5,6,0,20,43.0,794842.22
Flamengo,304,4,6,2,11,55.0,2811025.94
Centro,206,5,5,1,9,41.0,780842.38
Recreio,292,1,3,1,6,26.0,1957932.29
Tijuca,322,3,5,1,12,18.0,2338790.0
Centro,318,3,5,1,24,25.0,1665129.66
Leblon,139,4,5,0,15,19.0,2798319.16
Meier,310,4,4,0,18,16.0,2040036.11
Ipanema,320,3,3,2,19,7.0,5950442.39
Centro,336,2,4,0,19,34.0,1329508.12
Centro,139,1,2,1,10,13.0,766785.97
Ipanema,99,3,3,0,19,8.0,1889567.37
Laranjeiras,214,2,4,0,8,16.0,1956754.86
Recreio,327,3,3,0,14,47.0,2464920.82
Laranjeiras,317,4,6,1,7,34.0,2771117.63
Copacabana,210,3,4,0,23,29.0,2352352.06
Leblon,73,3,4,0,18,,1185748.1
Jacarepagua,162,1,1,1,14,33.0,810968.39
Leblon,257,4,4,1,11,29.0,4623620.67
Tijuca,207,3,5,0,13,50.0,1187027.53
Centro,137,1,2,0,19,43.0,779824.56
Leblon,136,2,4,3,6,11.0,3088791.23
Flamengo,44,4,6,2,20,49.0,410586.23
Ipanema,118,5,5,0,7,10.0,1968103.77
Leblon,242,3,4,1,3,4.0,6493975.45
Meier,103,5,6,1,18,25.0,594829.51
Laranjeiras,347,1,2,3,17,23.0,3218671.55
Leblon,51,2,3,3,8,47.0,973450.99
Tijuca,216,5,6,3,16,41.0,1249941.48
Grajau,186,1,3,0,18,3.0,955720.61
Santa Teresa,295,4,6,1,19,,2008417.47
Meier,313,2,4,1,23,47.0,1633030.94
Recreio,201,2,3,2,21,43.0,1499827.59
Barra da Tijuca,229,3,4,3,10,30.0,2602437.69
Centro,252,2,3,1,5,36.0,1109216.15
Meier,194,5,5,2,2,33.0,635860.66
Tijuca,85,5,6,1,14,,774099.05
Copacabana,164,3,3,0,16,33.0,1719398.46
Leblon,103,3,5,1,17,40.0,1840160.03
Santa Teresa,175,1,2,2,0,3.0,1240069.97
Recreio,224,2,4,1,17,41.0,1951396.19
Jacarepagua,93,1,3,2,19,14.0,643362.03
Jacarepagua,106,5,6,2,18,0.0,592660.64
Laranjeiras,292,2,3,1,13,45.0,2689539.18
Copacabana,147,2,3,3,0,23.0,1527168.71
Ipanema,89,5,6,0,12,24.0,1357491.45
Tijuca,256,4,4,3,16,37.0,1615553.96
Jacarepagua,257,4,4,0,14,33.0,1215827.62
Flamengo,293,1,3,1,14,37.0,2048859.25
Jacarepagua,271,3,5,3,12,56.0,1385435.69
Recreio,347,3,3,2,13,39.0,2444966.29
Santa Teresa,211,2,2,1,8,2.0,1898868.07
Leblon,118,4,5,3,15,13.0,2721718.56
Meier,305,5,6,0,7,,1634790.98
Meier,111,2,4,2,12,28.0,385733.29
Jacarepagua,119,2,4,2,10,21.0,583744.49
Vila Isabel,294,2,2,0,17,11.0,2126737.74
Tijuca,311,5,5,3,22,6.0,2031160.75
Santa Teresa,135,1,2,3,15,8.0,1176930.51
Tijuca,262,5,5,0,3,57.0,1128567.56
Meier,324,4,5,0,16,23.0,1707436.8
Jacarepagua,284,3,4,0,8,57.0,1573095.87
Vila Isabel,26,3,5,1,1,20.0,170621.36
Recreio,240,5,5,1,4,18.0,1367863.53
Tijuca,80,4,6,2,24,29.0,647676.04
Copacabana,300,2,4,2,10,56.0,3465510.53
Barra da Tijuca,46,1,3,0,5,33.0,726545.73
Vila Isabel,347,4,6,1,3,2.0,2427948.71
Copacabana,82,1,3,3,16,16.0,777602.9
Grajau,161,1,1,3,19,58.0,933314.97
Meier,101,5,6,1,8,9.0,683807.77
Leblon,289,3,4,0,2,50.0,4681027.31
Tijuca,152,4,6,0,8,55.0,994052.21
Meier,266,2,2,1,16,12.0,1298186.11
Tijuca,46,1,2,1,2,,307206.5
Ipanema,172,1,1,1,6,35.0,1648378.42
Centro,321,2,2,0,0,47.0,1263357.8
Flamengo,326,1,3,1,11,47.0,2628648.93
Ipanema,92,3,3,1,4,3.0,1573101.18
Tijuca,153,2,4,1,4,19.0,852603.97
Botafogo,157,3,5,0,2,56.0,1161748.59
Centro,208,3,5,3,18,21.0,1277688.98
Flamengo,199,2,2,1,12,14.0,1936368.56
Flamengo,59,3,3,1,23,37.0,541048.48
Santa Teresa,272,1,2,3,9,11.0,2384788.56
Laranjeiras,98,2,3,2,5,8.0,868948.09
Tijuca,127,5,6,0,5,47.0,899150.29
Ipanema,298,5,6,0,23,7.0,4915088.77
Centro,249,3,3,0,14,53.0,1514754.11
Grajau,153,5,6,2,8,14.0,1208815.9
Santa Teresa,321,3,5,1,16,6.0,2546579.05
Botafogo,153,1,2,1,13,44.0,1337395.01
Botafogo,208,5,6,2,2,10.0,2263414.11
Copacabana,104,3,5,2,17,21.0,1320731.14
Leblon,84,4,5,0,2,21.0,1944765.97
Meier,184,4,4,0,4,30.0,700967.98
Meier,207,2,3,3,17,28.0,1132040.9
Barra da Tijuca,286,4,5,3,11,11.0,2529943.7
Tijuca,152,3,5,3,5,14.0,1057804.0
Vila Isabel,315,2,4,3,1,11.0,2368645.37
Recreio,222,2,3,1,14,3.0,1565901.75
Vila Isabel,47,4,5,3,17,39.0,202822.32
Santa Teresa,265,2,3,3,5,28.0,1930672.62
Tijuca,211,1,2,3,10,6.0,1947210.06
Botafogo,151,5,6,0,8,19.0,1639638.43
Santa Teresa,176,2,3,0,22,40.0,893101.29
Centro,123,4,5,1,19,17.0,552739.66
Tijuca,224,4,6,2,6,24.0,1545078.54
Centro,209,5,5,3,12,44.0,853410.15
Jacarepagua,170,4,4,1,23,40.0,928494.4
Grajau,117,4,6,3,8,42.0,692672.88
Botafogo,154,5,6,3,3,22.0,1417855.36
Santa Teresa,186,5,6,3,7,29.0,1675210.07
Santa Teresa,178,1,2,0,15,50.0,1249787.31
Leblon,125,4,5,0,24,52.0,2693418.69
Leblon,214,1,2,0,7,3.0,5462464.12
Jacarepagua,98,5,5,2,1,50.0,433228.0
Copacabana,187,1,2,2,4,,1633258.23
Tijuca,64,2,2,1,10,56.0,346679.95
Recreio,178,1,1,0,2,16.0,1549511.76
Santa Teresa,279,4,5,2,0,30.0,1712119.08
Santa Teresa,290,1,3,2,16,2.0,3122397.02
Leblon,250,1,1,1,20,6.0,5211929.9
Grajau,267,3,5,1,5,33.0,1651092.5
Ipanema,46,5,6,2,13,12.0,800427.67
Laranjeiras,135,3,5,2,14,13.0,1196316.74
Vila Isabel,237,3,4,2,16,17.0,2018373.84
Grajau,285,4,6,3,24,27.0,1805468.26
Botafogo,214,3,4,1,22,9.0,2381299.45
Grajau,302,2,4,2,7,48.0,1497216.99
Ipanema,113,3,4,3,24,40.0,1833683.26
Jacarepagua,74,1,2,0,0,47.0,334498.54
Jacarepagua,53,2,3,1,24,55.0,214864.64
Tijuca,214,4,6,0,3,36.0,1250807.87
Copacabana,241,2,4,1,2,21.0,2853301.92
Laranjeiras,117,1,1,0,2,58.0,919841.65
Barra da Tijuca,279,1,3,2,3,33.0,3085039.76
Centro,265,5,6,0,11,27.0,1463834.42
Recreio,142,2,4,2,16,24.0,1085016.41
Barra da Tijuca,102,1,2,2,18,2.0,1323046.04
Grajau,266,4,5,3,0,57.0,1147691.73
Ipanema,243,3,5,1,7,49.0,2619869.76
Laranjeiras,80,3,4,1,3,41.0,548645.32
Laranjeiras,107,5,6,0,3,13.0,1095502.7
Barra da Tijuca,182,2,3,2,18,55.0,1750699.64
Botafogo,191,3,4,0,16,10.0,2043742.97
Copacabana,78,4,4,0,5,14.0,843326.81
Santa Teresa,333,4,4,3,7,4.0,3206592.99
Santa Teresa,151,2,2,2,23,17.0,1060806.57
Botafogo,148,4,5,0,14,19.0,1641988.9
Copacabana,44,4,5,2,5,47.0,409766.07
Ipanema,309,1,2,1,23,19.0,5669660.79
Ipanema,101,1,3,0,4,57.0,1374463.84
Vila Isabel,345,4,4,1,7,18.0,2130209.32
Grajau,186,1,2,3,17,31.0,1335701.42
Leblon,309,5,5,0,12,35.0,5918761.43
Laranjeiras,83,1,1,1,1,49.0,754841.6
Leblon,78,5,6,3,20,45.0,1472650.39
Barra da Tijuca,285,4,4,1,5,,2092169.25
Meier,291,3,3,0,17,56.0,1370023.53
Flamengo,201,2,4,1,8,7.0,2135878.77
Grajau,35,2,4,2,18,5.0,261644.83
Copacabana,331,4,4,3,22,26.0,3686412.39
Leblon,152,4,4,2,19,9.0,2387711.29
Tijuca,329,2,2,0,23,29.0,1665386.65
Tijuca,307,3,4,3,13,35.0,2522982.19
Santa Teresa,301,5,6,3,1,16.0,2030899.12
Laranjeiras,248,2,2,2,13,5.0,2800757.24
Tijuca,243,4,4,3,11,57.0,1044190.06
Santa Teresa,198,1,2,3,17,22.0,1289400.07
Jacarepagua,33,5,6,0,6,50.0,168525.23
Jacarepagua,151,1,2,1,17,37.0,788835.3
Recreio,262,2,4,2,11,39.0,2043871.77
Leblon,288,3,4,1,16,46.0,5258243.07
Santa Teresa,206,2,2,2,10,15.0,1550759.42
Copacabana,255,1,2,2,9,13.0,2684865.2
Leblon,32,4,6,0,5,59.0,417614.61
Botafogo,177,1,2,2,20,40.0,2073859.84
Tijuca,190,5,5,0,1,17.0,1618463.33
Ipanema,315,1,1,2,5,38.0,3974060.65
Copacabana,126,2,3,1,10,23.0,1172337.02
Flamengo,99,5,6,0,3,51.0,709561.11
Santa Teresa,139,1,2,3,22,,1102748.23
Ipanema,80,1,2,1,8,18.0,1325648.29
Tijuca,206,4,5,0,6,41.0,1359916.42
Jacarepagua,233,1,2,1,6,45.0,1107709.57
Grajau,285,5,5,3,4,22.0,1779920.4
Flamengo,340,3,4,0,16,45.0,3875870.92
Laranjeiras,48,5,6,1,12,14.0,414111.02
Meier,105,2,4,1,5,14.0,685920.95
Recreio,122,1,3,3,21,49.0,1052904.73
Leblon,106,5,6,0,16,37.0,2207833.75
Vila Isabel,293,4,4,0,10,2.0,1407745.25
Vila Isabel,70,5,5,2,12,40.0,387637.48
Copacabana,34,2,2,0,16,18.0,370024.87
Flamengo,304,3,3,2,3,,2847306.87
Ipanema,337,3,5,1,20,25.0,4907601.27
Laranjeiras,98,3,3,2,6,27.0,923568.95
Vila Isabel,133,2,2,0,0,53.0,729287.53
Ipanema,188,2,3,2,13,26.0,3685727.26
Recreio,195,4,4,2,21,17.0,1579785.29
Ipanema,347,1,3,0,18,46.0,4409199.29
Meier,156,2,4,1,7,32.0,785295.46
Grajau,28,2,4,0,9,,258771.87
Ipanema,162,1,2,0,14,37.0,2569365.41
Barra da Tijuca,205,1,2,2,5,30.0,2479408.27
Santa Teresa,192,3,4,1,20,34.0,1352950.63
Tijuca,191,1,1,3,7,11.0,1295281.19
Ipanema,324,2,3,1,5,28.0,5648528.41
Jacarepagua,287,3,5,2,2,38.0,1386354.68
Jacarepagua,106,5,5,2,17,40.0,585462.6
Centro,140,1,1,2,0,40.0,723156.69
Tijuca,241,3,4,3,20,59.0,1474784.25
Santa Teresa,158,1,2,2,24,30.0,1304020.44
Jacarepagua,164,3,5,2,2,25.0,758342.65
Tijuca,79,3,5,2,2,32.0,433757.77
Santa Teresa,107,4,6,1,23,19.0,858245.92
Grajau,265,3,4,2,3,18.0,1708600.39
Jacarepagua,298,5,6,3,10,41.0,1375595.39
Copacabana,280,1,1,2,21,18.0,3500786.28
Meier,125,1,2,2,3,,618444.31
Meier,69,1,1,0,16,44.0,376636.29
Leblon,76,2,4,1,9,,1513922.46
Centro,152,1,2,0,10,7.0,741835.92
Vila Isabel,193,1,2,0,23,21.0,1033503.76
Ipanema,315,2,2,1,16,46.0,4510312.82
Flamengo,317,5,6,1,7,25.0,2905404.62
Leblon,25,5,6,2,23,39.0,476011.41
Laranjeiras,254,1,3,3,14,44.0,1846946.59
Recreio,122,5,6,3,2,53.0,734665.0
Copacabana,89,2,2,1,9,13.0,1119167.96
Santa Teresa,205,3,4,1,6,15.0,1250877.74
Leblon,36,2,3,2,16,28.0,994179.0
Meier,133,3,3,1,21,30.0,689224.95
Leblon,204,4,4,3,0,54.0,3792664.24
Grajau,113,4,6,3,19,2.0,782881.85
Laranjeiras,217,3,4,2,22,14.0,2311426.29
Vila Isabel,174,4,5,0,24,54.0,938588.82
Recreio,284,4,5,2,16,36.0,2412596.08
Jacarepagua,83,1,3,3,7,40.0,400057.37
Centro,43,2,2,0,3,14.0,300219.06
Laranjeiras,197,1,2,0,23,37.0,1320052.67
Vila Isabel,108,4,4,2,10,22.0,749440.09
Copacabana,254,3,3,1,8,43.0,2532700.31
Centro,55,4,4,2,18,5.0,297137.28
Ipanema,211,3,4,1,17,17.0,4874616.51
Tijuca,346,2,3,3,20,38.0,2953313.58
Vila Isabel,55,1,2,1,22,36.0,224171.96
Botafogo,123,5,6,1,21,50.0,1151032.97
Laranjeiras,299,2,3,0,4,48.0,2435031.24
Recreio,198,1,2,0,4,0.0,1830398.55
Botafogo,81,2,4,0,5,5.0,1092867.06
Barra da Tijuca,94,5,6,3,15,21.0,1406327.6
Jacarepagua,273,2,4,1,14,57.0,1302999.91
Laranjeiras,304,5,5,0,21,28.0,3681881.55
Centro,142,3,5,1,21,53.0,789213.99
Grajau,178,5,6,2,20,3.0,1278877.4
Grajau,279,4,5,3,1,57.0,1287104.19
Laranjeiras,82,1,1,3,17,3.0,987805.9
Centro,92,3,4,0,21,48.0,408431.18
Tijuca,276,3,5,3,24,52.0,1610172.97
Recreio,85,2,3,1,8,17.0,662824.03
Ipanema,275,3,3,3,19,18.0,5195562.69
Barra da Tijuca,186,1,1,0,10,34.0,2046136.16
Grajau,346,4,5,2,4,43.0,1556196.06
Recreio,35,5,6,3,8,7.0,350615.5
Ipanema,332,1,2,0,6,14.0,5377168.83
Centro,98,3,5,3,22,45.0,659087.67
Santa Teresa,36,4,6,0,4,48.0,233437.81
Grajau,260,1,1,3,3,9.0,2099507.2
Tijuca,198,2,2,2,14,53.0,1278393.67
Recreio,297,2,4,3,14,52.0,2393198.82
Jacarepagua,60,1,2,3,14,52.0,309434.1
Botafogo,51,5,6,1,3,14.0,548236.21
Tijuca,209,3,5,1,12,40.0,1547215.57
Botafogo,311,4,5,2,23,9.0,5001138.65
Santa Teresa,156,3,3,0,2,11.0,1142948.16
Laranjeiras,284,5,6,1,19,4.0,3240447.53
Vila Isabel,319,5,6,0,3,29.0,1798019.45
Vila Isabel,307,4,4,3,5,42.0,1738513.91
Santa Teresa,190,2,3,0,22,11.0,1604486.67
Ipanema,251,3,3,1,7,11.0,2988701.48
Grajau,195,5,5,1,13,16.0,1297266.73
Copacabana,244,3,4,1,9,11.0,3325001.21
Jacarepagua,209,3,4,3,15,49.0,900956.21
Meier,195,1,2,3,10,10.0,1217605.62
Barra da Tijuca,166,5,6,2,11,16.0,2152241.72
Leblon,237,4,5,3,20,18.0,5069299.49
Leblon,269,2,4,0,13,12.0,6729486.62
Vila Isabel,323,3,5,3,14,56.0,1782685.46
Tijuca,224,3,5,0,20,12.0,1846701.11
Tijuca,57,1,1,0,10,29.0,442271.69
Grajau,215,5,6,0,20,33.0,1424455.22
Leblon,127,5,5,0,17,15.0,2112350.08
Grajau,33,5,6,3,22,28.0,208005.54
Grajau,48,2,3,1,11,,245609.5
Meier,217,2,2,3,13,28.0,1200914.1
Leblon,332,1,1,1,3,1.0,8368113.87
Leblon,189,4,6,0,2,26.0,4169729.98
Tijuca,169,2,4,1,2,21.0,1229814.15
Meier,53,5,5,0,15,21.0,321179.0
Leblon,244,5,6,1,8,6.0,4134585.96
Recreio,43,1,1,2,7,59.0,262393.06
Ipanema,298,5,6,3,15,1.0,4519763.11
Meier,290,1,3,2,9,8.0,1514099.3
